1;1.4;-12;3;15;50;150;false
2;1.4;-5;2;15;50;100;false
3;1.4;0.5;1;15;50;50;false
4;1.4;6;2;15;50;100;false
5;1.4;12;3;15;50;150;false
6;1.4;-12;3;60;50;150;false
7;1.4;-5;2;60;50;100;false
8;1.4;0.5;1;60;50;50;false
9;1.4;6;2;60;50;100;false
10;1.4;12;3;60;50;150;false
11;1.4;-12;3;105;50;150;false
12;1.4;-5;2;105;50;100;false
13;1.4;0.5;1;105;50;50;false
14;1.4;6;2;105;50;100;false
15;1.4;12;3;105;50;150;false
16;1.4;-12;3;150;50;150;false
17;1.4;-5;2;150;50;100;false
18;1.4;0.5;1;150;50;50;false
19;1.4;6;2;150;50;100;false
20;1.4;12;3;150;50;150;false
21;1.4;-12;3;195;50;150;false
22;1.4;-5;2;195;50;100;false
23;1.4;0.5;1;195;50;50;false
24;1.4;6;2;195;50;100;false
25;1.4;12;3;195;50;150;false
26;1.4;-12;3;240;50;150;false
27;1.4;-5;2;240;50;100;false
28;1.4;0.5;1;240;50;50;false
29;1.4;6;2;240;50;100;false
30;1.4;12;3;240;50;150;false
31;1.4;-12;3;285;50;150;false
32;1.4;-5;2;285;50;100;false
33;1.4;0.5;1;285;50;50;false
34;1.4;6;2;285;50;100;false
35;1.4;12;3;285;50;150;false
36;1.4;-12;3;330;50;150;false
37;1.4;-5;2;330;50;100;false
38;1.4;0.5;1;330;50;50;false
39;1.4;6;2;330;50;100;false
40;1.4;12;3;330;50;150;false
